,file_names,reviews,labels
11,H_21606342_5.txt,"﻿5.0

Había overbooking en el hotel, así que en vez de decirnos que no había hueco, nos dejaron una suite al mismo precio. El sitio era muy cómodo, pero solo por eso se merecen la mejor puntuación, se preocupan por el cliente!!!
",G
12,H_21607286_1.txt,"﻿4.7
¡¡¡Hotel inmejorable!!! Sin duda en el centro de Salamanca a nada de la plaza y del casco antiguo
lo único que me faltó fue un desayuno un poco más variado, pero el resto fue genial, la habitación
era amplia, el baño igual, el servicio muy tranquilo, y lo mejor la ubicación
lo recomiendo muchísimo!!!
",G
13,H_21607286_2.txt,"﻿3.0
Hotel normalito, con la playa cerca y el servicio de habitaciones típico.
Lo peor es la lejania que tiene respecto al 'pueblo' y a las playas buenas
ya que su playa esta llena de rocas y algas.
No está mal de precio, pero como es el único del pueblo se aprovechan
",N
14,H_21607286_3.txt,"﻿5.0
¡¡Que divertido fue!! Fuimos para año nuevo y la verdad es que la fiesta que organizarón
fue increible, el trato era genial y además era muy internacional.
Las vistas a la playa buenísimas, me encantó muchísimo!!
Os lo recomiendo a todos
",G
15,H_21607286_4.txt,"﻿2.0
Te cobran una burrada por el parking, las habitaciones parecen zulos con la cama y la mesilla
juntas en el centro de Burgos, lo único decente es que al desayuno te 'invitan', ya que es
en la cafetería de la propia dueña.
Si es para una noche no está mal, si quieres tener la espalda jodida al día siguiente
",B
16,H_21607286_5.txt,"﻿3.2
Un hotel muy típico, nada que objetar pero tampoco nada que impresione. Bien.
",N
17,H_21619919_1.txt,"﻿4.5
El hotel tiene un increible servicio de camareros y las habitaciones son muy acojedoras.
",G
18,H_21619919_2.txt,"﻿3.3
Es un hotel bastante bueno, pero he echado en falta los recambios de toallas para el pelo en el baño.
Por el resto todo bastante aceptable.
",N
19,H_21619919_3.txt,"﻿2
El hotel no esta mal, pero haberme encontrado dos escarabajos en mi habitación me ha hecho estar toda la noche en vela.
Lo siento, pero el aspecto higienco de un hotel lo conidero critico a la hora de valorar.
",B
20,H_21619919_4.txt,"﻿4.8
Increible. No tengo ninguna queja de este hotele. 100% recomendable.
",G
21,H_21620090_5.txt,"﻿1.5
El servicio del hotel fue pÃ©simo, a los camareros constantemente se les caÃ­an los platos al suelo. AdemÃ¡s habÃ­a dÃ­as que no pasaban el servicio de habitaciones y tenÃ­as que bajar a recepciÃ³n para que te limpiaran la habitaciÃ³n. Una vergÃ¼enza. 
",B
22,H_21625512_1.txt,"﻿2.0
En la pagina web tenia muy buenas valoracion por eso hicimos en una reserva y cuando llegamos no era para nada como ponia en la pagina web era horrible, una habitacion pequeña muy sucia y sin vista a ningun sitio.
",B
