,texts,polarity,subjectivity,positivity,negativity,neutrality,compound
28,"﻿4.0
Muy buen hotel , si tuviera los lavabos en oro macizo serÃ­a aÃºn mejor.
",0.3275,0.34500000000000003,0.21,0.0,0.79,0.5849
29,"﻿5.0
Nos los hemos pasado genial, nada que decir, todo perfecto. Gracias al staff del hotel.
",0.6666666666666666,0.65,0.386,0.0,0.614,0.8934
30,"﻿4.9
Lugar insuperable, a 1 minuto de la plaza Mayor de Praga, sorprendentemente por la noche era super tranquilo. Al llegar al hotel, por algÃºn motivo no tenÃ­an la habitaciÃ³n que pedimos, pero lo solucionaron dÃ¡ndonos una suite, asÃ­ que el servicio perfecto. Vistas muy bonitas y un ambiente muy acogedor, con todo tipo de lujos incluidos en el precio, piscina climatizada, spa, sauna, sala de juegos, bar... Una experiencia increÃ­ble.
",0.41333333333333333,0.6564814814814814,0.193,0.0,0.807,0.9498
31,"﻿5.0
Veraneo todos los veranos en este hotel, y no le puedo pedir mas. Buen servicio, buena localizaciÃ³n al lado de la playa. Perfecto para pasar unas vacaciones familiares.
",0.58,0.54,0.279,0.0,0.721,0.8766
32,"﻿4.7
Una gran ubicaciÃ³n en el centro, unas habitaciones espaciosas y bastante limpias, incluyendo los baÃ±os, me ha gustado mucho las opciones que muestran en el desayuno aunque cierren el restaurante a los mediodÃ­as, tienen un ambiente tranquilo y familiar. VolverÃ­a
",0.2916666666666667,0.4547619047619048,0.156,0.0,0.844,0.6648
33,"﻿4.5
Hotel bastante bueno, espacioso, con mucha luz, balcon con bastante buenas vistas (hecho que se agradece mucho la verdad), buena cama y buena localizaciÃ³n.
Lo Ãºnico que habrÃ­a que destacar es que el pequeÃ±o espacio de trabajo que habia en la habitaciÃ³n, era bastante reducido y la verdad que no muy comodo, y si que es verdad que aun que fuese un viaje de vacaciones, alguna que otra tarea si que tenia que realizar, pero bueno, nada que no se pueda mejorar con una silla algo mas comoda y una mesita algo mas espaciosa.
",0.30863247863247867,0.5610256410256411,0.192,0.1,0.709,0.7174
34,"﻿4.2
Nos encanto el poder disponer de piscina climatizada. Los ascensores tardaban un poco. El aire acondicionado no enfriaba lo suficiente y encontramos demasiado caliente la habitacion (pese a estar en febrero) y solo pudimos refrigerarla habriendo las ventanas. Aun que la piscina contrarestaba bastante este ultimo factor.
",0.12916666666666665,0.6444444444444445,0.072,0.036,0.891,0.4475
35,"﻿5.0
La verdad es que este ha sido un hotel Excepcional, limpio y con atenciÃ³n INMEJORABLE. La atenciÃ³n es estupenda desde el primer momento en que pisas el hotel hasta el momento en que decides abandonarlo. Cuenta con instalaciones muy bien preparadas y aunque se podrÃ­a decir que estÃ¡ situado en una zona poco cÃ©ntrica, cabe remarcar que esta magnÃ­ficamente comunicado con el resto de Sevilla
",0.38697916666666665,0.5854166666666667,0.207,0.014,0.779,0.9507
36,"﻿4.3
Muy bueno. Bien cominicado para la entrada y salida de madrid. Solo fue una noche llegada 2am y salida 8 am .realmente no pude disfrutar de los posibles servicios del hotel.tenia que utilizar garaje pero no lo utilice ya que no me compensaba 6 horas 18 â‚¬.A la salida no se podia aparcar para recoger equipage debido a autocares y taxis.
",0.13083333333333333,0.6425000000000001,0.052,0.027,0.921,0.2119
37,"﻿5.0
Un hotel con una vista preciosa a la plaza San Marcos, tienen una piscina en la azotea que lo hace muy recomendado
",0.505,0.77,0.231,0.0,0.769,0.7178
38,"﻿4.5
Cama muy comoda y con una muy buena ubicacion en el centro
",0.4433333333333333,0.6266666666666668,0.326,0.0,0.674,0.7774
39,"﻿4.2
Me gusto mucho el servicio. Las habitaciones muy limpias y la comida genial.
No habia mucha gente por lo que pudimos estar muy agusto.
Repetiria y lo recomiendo!
",0.45533333333333337,0.792,0.389,0.0,0.611,0.9483
40,"﻿4.0
Repetiria
",0.0,0.0,0.0,0.0,1.0,0.0
41,"﻿4.1
Me gusto mucho el hotel.
Perfecto para ir con la familia, tiene entretenimiento para adulto y para los mas jovenes.
",1.0,1.0,0.3,0.0,0.7,0.8402
42,"﻿5.0
Mojé.
",0.0,0.0,0.0,0.0,1.0,0.0
43,"﻿4.9
En la opinión de Sir Colinsworth Appleby, la calidad de este parador resulta acorde con su afamada historia y su aclamado pedigree.
En la gloriosa nación de Gran Bretaña nuestros albergues son todos de calidad superior, pero para el infame estándar español, uno no puede esperar más si no desea acabar decepcionado.
El servicio fue servil y atento a mis muchas necesidades, el portero no obstante resultó superficial y pedante con opiniones muy desactualizadas sobre el actual conflicto en Ecuador.
Sobresaliente. No es valorado con la opinión más alta porque la perfección no existe.
Fin de comunicado.
",0.14461538461538462,0.6267948717948718,0.142,0.091,0.767,0.813
44,"﻿4.1
Para un hotel de tanta categoría, me gustaría que arreglaran el ascensor más rápido. Dos días sin ascensor es inaceptable para un hotel tan caro, y arruinó un poco la experiencia cuando todo lo demás era maravilloso. Arreglad vuestros ascensores.
",0.16,0.52,0.175,0.0,0.825,0.8262
45,"﻿5.0
Jacuzzi, chocolatina en la almohada,  respetuosos con tus horas de sueño, excelente comida y simpático servicio. 10 de 10.
",0.625,0.7333333333333334,0.331,0.0,0.669,0.872
46,"﻿4.0
Muy buen trato al huesped. Fui con mi familia y nos encantÃ³, mucha amabilidad.El desayuno muy ricoc con una vista al jardin y la piscina preciosa.
",0.7368750000000001,0.88875,0.374,0.0,0.626,0.9577
47,"﻿5.0
Muy buen hotel, trato excepcional, impoluto una habitacion con unas vistas maravillosas y cerca de todo lo que es para turista.
",0.8588888888888889,0.9266666666666667,0.239,0.0,0.761,0.7841
48,"﻿4.0
Hotel muy cómodo, con todas las necesidades. Me quedé un poco celoso porque me tocó una pareja en la habitación de al lado y no paraban de gemir. Me tendré que llevar a mi churri la próxima vez
",0.083125,0.375,0.088,0.101,0.811,0.1245
49,"﻿4.3
Perfecto y discreto para follar. No es necesario decir nombres y se puede pagar en efectivo.
",0.19999999999999998,0.8666666666666667,0.129,0.171,0.699,-0.0516
50,"﻿5.0
Relajante y perfecto. Justo lo que necesitaba. Comida riquísima, piscina ideal y llena de chicas! Cerca de la fiesta y cama muy cómoda para el after party
",0.6595833333333333,0.8249999999999998,0.503,0.0,0.497,0.9729
51,"﻿4.5
Increible. Buffet exquisito, buen servicio de habitaciones y el personal muy simpático. La repostería en la cena era exquisita, y el cheff super simpatico.
",0.6422619047619047,0.7595238095238096,0.456,0.0,0.544,0.9558
52,"﻿4.0
La carne estaba muy buena y el ambiente era agradable. Solo faltaba que hubiesen sido más rápidos con nuestra comida
",0.4366666666666666,0.6100000000000001,0.186,0.068,0.746,0.5849
53,"﻿5.0
Nos trataron de maravilla, hasta nos invitaron a un chupito. Recomiendo especialmente el secreto iberico con salsa de oporto
",0.19999999999999998,0.9,0.234,0.0,0.766,0.7506
54,"﻿5.0
Comida espectacular con precios muy competitivos. Los dueños muy agradables.
",0.5266666666666667,0.7333333333333334,0.125,0.0,0.875,0.2484
55,"﻿5.0
Pese a ser tratados por el personal del parking de la torre de forma un poco borde, tanto los empleados del restaurante como los del resto de la torre nos brindaron un trato muy atento y amable. Sitio agradable, con buenas vistas y comida espectacular. Precio justo por la calidad de los productos, atención del personal y localización del restaurante.
",0.49452380952380953,0.7190476190476192,0.171,0.0,0.829,0.8993
56,"﻿4.5

Los camareros son simpÃ¡ticos, la carne estÃ¡ en su punto, echan buena cantidad de salsa y tiene mucha variedad de productos. Lo Ãºnico malo es que las patatas son congeladas y a veces se equivocan con los productos.
",0.09375000000000003,0.6916666666666667,0.111,0.109,0.78,0.0258
57,"﻿5.0

De putisima madre, voy todos los fines de semana a comer y me pongo hasta el culo de comer por 4 duros, si vais pillaros las morcillas, que estan bueniiiiiiisimas, dios, solamente de escribir la review y pensar en esas morcillas me esta entrando hambre...
",-0.20833333333333334,0.4694444444444444,0.041,0.096,0.863,-0.4215
58,"﻿5.0
Recomendable 100%. Hay que reservar porque es un sitio pequeño y suele haber mucha gente. La hamburguesa que he comido era consistente y muy rica, además los camareros fueron muy atentos.
",0.3015,0.625,0.14,0.0,0.86,0.6901
59,"﻿4.7
Ruquísimo!! Es uno de los pocos sitios de pizzas que de verdad son italianas y saben bien la única pega que tardan un poco en servirte.
",-0.096875,0.4,0.0,0.0,1.0,0.0
60,"﻿4.5
Buen trato y buena comida.
",0.7,0.6000000000000001,0.42,0.0,0.58,0.7003
61,"﻿4.6

Carne de ciervo buenísima, la decoración es fantástica y muy muy temática. La comida es simple, buena y abundante, mucha tajada sin tonterías. Uno de mis favoritos cerca de Madrid.
",0.37142857142857144,0.5653061224489796,0.351,0.0,0.649,0.9399
62,"﻿4.2

Comida japonesa a casa a muy buen precio, normalmente estos restaurantes suelen ser caros, pero este en particular es muy barato y bueno. La comida se nota que esta fresca y el material es bueno.
",0.2596296296296296,0.49925925925925924,0.205,0.0,0.795,0.8294
63,"﻿4.2
Excelente comida asturiana típica (el cachopo inmejorable), el trato personal es magnífico
pero lo único es la poca variedad de la carta!!
",0.2664930555555556,0.7166666666666667,0.164,0.0,0.836,0.6239
64,"﻿5.0
Un diez desde que entras, el entorno precioso, el restaurante muy acogedor y tranquilo, y el trato espectacular.
Además la localización es maravillosa, a pie de playa, y el precio es caro pero merece muchísimo la pena.
Increible, sin duda volveré!!
",0.298,0.5938333333333334,0.214,0.0,0.786,0.8939
65,"﻿4.5
Uno de los mejores restaurantes de la zona. Destacar su paella y sus postres. DELICIOSOS!
",1.0,0.65,0.288,0.0,0.712,0.784
66,"﻿4.6
La comida es excelente y el trato de los camareros inmejorable. 10 de 10!
",1.0,1.0,0.174,0.0,0.826,0.6114
67,"﻿4.0
Estuve cenando con mi pareja y siempre que vamos no defrauda. AdemÃ¡s de buena calidad tiene un precio econÃ³mico. Si tengo que ponerle una pega serÃ­a que tardan mucho en servir la comida, da igual cÃ³mo este el restaurante, por ello no le pongo las 5 estrellas.
",0.28333333333333327,0.4000000000000001,0.084,0.018,0.898,0.6229
68,"﻿5.0
100% recomendable. Este restaurante nunca defrauda, perfecto trato y excelente calidad-precio. El sitio es muy acogedor y es perfecto para familias ya que dispone de un menÃº infantil muy completo.
",0.5740000000000001,0.899,0.144,0.147,0.709,-0.0289
69,"﻿4.4
Me encantÃ³ el restaurante, la decoraciÃ³n estaba muy conseguida y el menÃº del dÃ­a es espectacular, por solo 10â‚¬ comes dos platos y postre con bebida incluida. Recomiendo ir en dÃ­a de diario ya que los fin de semana no tienen menÃº y las raciones son bastante caras.
",0.29583333333333334,0.7333333333333334,0.179,0.037,0.784,0.8516
70,"﻿4.7
Fuimos un grupo grande y nos atendieron genial. Además la calidad-precio del local esta muy bien ya que el menu de degustación era 25€ pero con 6 platos más el postre. La tarta de zanahoria estaba magnifica.
",0.7310714285714286,0.7396428571428572,0.112,0.0,0.888,0.5642
71,"﻿4.3
Hicimos la reserva el mismo dia y todo perfecto. Además el personal de local estupendo pero tardaron un poco en traernos la comida pero la calidad de la comida era buenisima.
",0.52,0.525,0.117,0.0,0.883,0.5994
72,"﻿5.0
Tanto el servicio como la comida y el postre ha sido maravilloso. Volveremos más seguido para disfrutar de este placer de comida.
",0.6333333333333333,0.6666666666666666,0.316,0.0,0.684,0.9107
73,"﻿5.0
Takos increíbles que salen en bandejas de uno, dos o una montaña de ellos.<br><br>Los takos están buenísimos y super bien de precio y las quesadillas se quedan un poco sosas en comparación (1€/taco y 2,50€/quesadilla), pero el sitio está muy lleno y es bastante ruidoso, no es para una cena romántica o para una charla intima. <br><br>El servicio es rapidísimo y los tacos están sabrosos y jugosos. El que más me gustó fue el de cochinita.<br><br>Ahora que si estas por la zona y no quieres gastar mucho en la cena no te los pierdas! Son un MUST de Madrid.<br><br>Cierran sobre las 12:00 de la noche.(al menos en fin de semana)
",0.3237878787878788,0.6418181818181818,0.087,0.049,0.864,0.6342
74,"﻿4.5
Tras un primer acercamiento puedo asegurar que volveré a esta taquería... un día que haga menos calor!!
",0.15798611111111113,0.4166666666666667,0.111,0.0,0.889,0.4559
75,"﻿4.2
Excelente restaurante, los precios son altos pero la calidad de la comida hace que merezca la pena.
",0.5533333333333333,0.68,0.11,0.0,0.89,0.3291
76,"﻿5.0
Excelente
",1.0,1.0,0.425,0.0,0.575,0.5719
77,"﻿5.0
Las pizzas estaban muy buenas, la calidad de dominos pizza nunca defrauda y con la oferta de come y bebe te pones hasta arriba.
",0.9099999999999999,0.7800000000000001,0.171,0.0,0.829,0.6572
78,"﻿4.0
le pongo un 4.0 porq la comida estaba wena pero el servicio de atncion no me va na esa gente tardaba mucho.
",0.32499999999999996,0.5,0.072,0.0,0.928,0.2382
79,"﻿4.0
Muy rica la comida. Este sitio destaca por su originalidad. Eso sÃ­ , no pongÃ¡is demasiado picante para evitar disgustos.
",0.38660714285714287,0.7553571428571428,0.134,0.076,0.791,0.4005
80,"﻿4.0
Lo Ãºnico que se podrÃ­a mejorar es la localizaciÃ³n.
",0.0,1.0,0.181,0.0,0.819,0.4767
81,"﻿5.0
ExcelentÃ­simamente excelente.
",1.0,1.0,0.0,0.0,1.0,0.0
82,"﻿4.5
Buen servicio, camareros muy atentos y la comida muy buena. Vine hace aÃ±os y no recordaba tan bien el sitio. Es un poco difÃ­cil llegar, esta un poco escondido, pero el paisaje donde se encuentra es precioso, y la mayorÃ­a de mesas tienen vistas muy bonitas al valle. No hay problema de aparcamiento. Perfecto para comidas familiares y celebraciones.
",0.44058333333333327,0.7713333333333334,0.251,0.099,0.65,0.924
83,"﻿4.0
Aunque tarden un poco en servir las pizzas, estÃ¡n buenÃ­simas, voy cada verano dÃ­a si y dÃ­a tambiÃ©n, ademas todos los productos estÃ¡n a un precio de locos. Otra recomendaciÃ³n que si vais la verÃ©is en todas las mesas es los champiÃ±ones a la parmesana, que no se os olvide pedirlos!!
",-0.0716666666666667,0.7266666666666667,0.088,0.039,0.873,0.4666
84,"﻿5.0
Tiene un gran ambiente con gente muy amable y cÃ¡lida, una buena calidad de alimentos y bebidas a un precio razonable para ir con tus amigos y pasar un buen rato.
",0.63,0.6916666666666668,0.42,0.0,0.58,0.9575
85,"﻿4.2
La comida ha sido buena y la higiene del lugar esta perfecta al igual que su atenciÃ³n, lo que no me ha convencido es el precio, pero para un capricho mensual esta bien, lo recomendarÃ­a.
",0.7999999999999999,0.7333333333333334,0.261,0.033,0.706,0.8839
86,"﻿4.5
Es la primera vez que pruebo un restaurante de estas caracterÃ­sticas y la verdad es que me ha fascinado. De entrada me choco el buen ambiente del local, la buena atenciÃ³n por parte de los camareros, la rapidez con la que nos tomaron nota y nos trajeron los platos a la mesa, y lo mÃ¡s importante, la excelente calidad de la comida y teniendo en cuenta el precio me quedo sin palabras.
En definitiva, es 100% recomendable, para todo tipo de personas y edades.
",0.5071428571428571,0.619047619047619,0.196,0.02,0.783,0.9482
87,"﻿4.8
Es la primera vez que voy a este restaurante, y la verdad es que me ha sorprendido gratamente. Es bueno en todos los aspectos. Gran variedad en la carta, platos muy diversos y apto para personas con todo tipo de alergias. 
",0.4333333333333333,0.6055555555555555,0.25,0.0,0.75,0.9231
88,"﻿4.0
En busca de una hamburgueserÃ­a con buena calidad de carne, este sitio me aparecio en internet y la verdad es que todas las reseÃ±as fueron acertadas. Es un restaurante que se nota que sus carnes son buenisimas, pero a mi ver se centran al 100% en la carne y algun que otro ingrediente lo descuidan.
",0.47124999999999995,0.5970833333333334,0.095,0.0,0.905,0.5499
89,"﻿4.6
Este restaurante sorprende no solo por la comida. En busca de una nueva experiencia, me tope con este restaurante y no solo la comida era buena sino que habia un escenario en el cual una persona hacia un monÃ³logo bastante tranquilo, lo cual hacia la comida muy amena. Si que es cierto que puede dar lugar a atragantarse, pero en general bastante tranquilo todo y se te pasa el tiempo volando.
",0.24292929292929294,0.6742087542087543,0.185,0.05,0.765,0.8683
90,"﻿4.8
Comida execelemte desde el entrante al postre, ademas tienen una muy buena relacion calidad-precio
Muy recomendable
",0.5349999999999999,0.66,0.295,0.0,0.705,0.7884
91,"﻿4.0
Comida tipica de la zona, con una terraza a pie de playa....trato aceptable
",-0.16666666666666666,0.5,0.119,0.0,0.881,0.3182
92,"﻿4.2
La comida esta muy buena, me gusto mucho, pero me pareciÃ³ muy caro.
",0.28666666666666657,0.8300000000000001,0.205,0.0,0.795,0.4829
93,"﻿5.0
Excelente, repetiria
",1.0,1.0,0.346,0.0,0.654,0.5719
94,"﻿4.4
Este Burger King me encanta, me conocen, y me hacen algo de descuento. Los trabajadores son, en general, muy agradables.
El problema es que a veces hay demasiada cola, y en otras ocasiones, no tienen suficientes tapas para la bebida.
La comida es lo que puedes esperar de este tipo de sitios, pero a mi la comida grasienta y mala para la salud me gusta.
",0.10071428571428574,0.5488095238095239,0.102,0.087,0.812,0.0425
95,"﻿4.7
La comida es excelente, para ser un Vips. Tardan poco, los camareros son agradables, hay muchas teles para ver los partidos.
En alguna ocasión contada me han puesto la comida algo fría.
",0.2625,0.8,0.16,0.0,0.84,0.7579
96,"﻿4.0
Muy buen servicio y comida muy sabrosa. En cuanto al precio, es un poquito alto, pero merece la pena pagar por dicha calidad.
",0.39249999999999996,0.43000000000000005,0.146,0.0,0.854,0.5341
97,"﻿5.0
Me encanta, da la sensacion de que al ser minimalista pone poca comida, aunque este esquisita, pero al contrario ponen comida que te deja saciado. 100% recomendable y de relacion calidad/precio excelente.
",0.28125,0.65,0.258,0.0,0.742,0.8779
98,"﻿4.0
Riquísimo! El Steak Tartar estaba fantástico y de mucha calidad. De entrante nos pedimos unas croquetas de jamón que me hubiese comido 30. Lo único malo fue el lugar ya que es un poco dificil acceder! Ojalá puedan encontrar un sitio más cercano
",0.1458333333333334,0.8861111111111111,0.238,0.097,0.665,0.8652
99,"﻿5.0
Los mejores helados que he probado! Estaban riquísimos y con un marco incomparable viendo la sierra de Madrid! Un buen spot para llevar a un ligue, if you know what I mean. 
",0.5775,0.6375,0.269,0.0,0.731,0.9078
100,"﻿4.3
Las pizzas estaban riquísimas pero los asientos no me parecían cómodos. Las pediré para llevar y me las como en mi casa
",0.7,0.9,0.071,0.108,0.821,-0.2966
101,"﻿5.0
Me ha gustado mucho. La comida estaba rica y recomiendo la hambuguesa quijote. El queso esta de muerte.
Si se reserva mejor, ya que el sitio se peta enseguida y es dificil encontrar mesa
",0.28,0.74,0.239,0.137,0.624,0.6249
102,"﻿4.5
Los mejores pinxos que he comido en mi vida, y además barato. Recomendado
",0.7,0.5,0.286,0.0,0.714,0.7184
103,"﻿4.5
Me cansé de las operadoras tradicionales que te ponen cargos y mantenimientos y cuotas de linea y demás cosas que no siempre necesitas, asi que opte por esta compañía que ofrece contratar solo lo que quieres y pagar lo justo. Es cierto que no te regalan cosas como la instalación o que tienes que pagar el router pero no hay letra pequeña ni engaño. Además la atención al cliente es gratuita y siempre que hay una incidencia o se cae el servicio te devuelven algo del importe de la factura. Estoy muy satisfecho y lo recomiendo
",0.12222222222222223,0.6305555555555555,0.14,0.112,0.748,0.6635
104,"﻿4.0
Por ser empleados de Movistar, nos han regalado 15gb extras para los meses de verano. Muy agradecido.
",0.1,0.2,0.0,0.0,1.0,0.0
105,"﻿4.5

El servicio tecnico esta decente, pedi que me mandaran un router a doble banda y me lo cambiaron sin ningun problema, de hecho me estan subiendo el internet cada pocos meses y ahora tengo una velocidad de la hostia, y esta guay, por poner algo a veces te llega publicidad.
",0.06333333333333332,0.30333333333333334,0.092,0.0,0.908,0.5971
106,"﻿4.2
Tiene un buen precio para la cantidad de cosas que ofrece como internet, fijo, tv y 4 móviles. Lo que no me gusta tanto es que entras a la compañía con una tarifa y al paso de los meses te aumentan los GB. Dicen que es gratis pero después te van subiendo poco a poco la cuota mensual porque las promociones antiguas caducan y todas son más caras.
",0.1875,0.4375,0.06,0.023,0.918,0.3705
107,"﻿4.5

Un coñazo poner el router pero después todo funcionaba DPM, va muy rápido y no he tenido cortes de conexión en tres meses ni promociones molestas.
",-0.27,0.8400000000000001,0.056,0.193,0.751,-0.6826
108,"﻿5.0
De lo mejorcito que hay, tienen cobertura Movistar, y en cinco años con ellos
ni un problema he tenido. La atención al cliente es inmejorable, y búscan siempre
la forma de que te encuentres bien con ellos.
Los precios también mucho mejor que otras compañias. Además no paran de regalar gigas por
promociones que hacen!!!
",0.48896484375000004,0.44375000000000003,0.208,0.028,0.763,0.9183
109,"﻿3.8
La fibra va de lujo!! Puedo jugar a mis juegos favoritos con un Ping de 10. Increible.
",0.7,0.95,0.251,0.0,0.749,0.69
110,"﻿5.0
Por fin una compaÃ±Ã­a donde me atienden a la primera cada vez que tengo un problema. AdemÃ¡s me va a toda velocidad el internet en mi casa, lo recomiendo 100%.
",0.19999999999999998,0.6277777777777778,0.075,0.081,0.843,-0.0516
111,"﻿4.5
La calidad del servicio es muy buena. Asimismo el paquete que tengo es maravilloso ya que puedo tener acceso a las plataformas de streaming como Netflic y HBO y además incluye el futbol. Es algo que voy a recomendar a más gente.
",0.6025,0.6950000000000001,0.19,0.0,0.81,0.8553
